Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.1,
Horizontal Delay,0,
Sample Interval,0.001,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,1
Vertical Position,0,-0.34
,,
,,
,,
Label,,
TIME,CH1,CH2
-5.00e-01,2.88,0.62
-4.99e-01,2.8,0.58
-4.98e-01,2.8,0.58
-4.97e-01,2.72,0.54
-4.96e-01,2.72,0.46
-4.95e-01,2.72,0.46
-4.94e-01,2.72,0.46
-4.93e-01,2.64,0.42
-4.92e-01,2.64,0.42
-4.91e-01,2.72,0.34
-4.90e-01,2.56,0.34
-4.89e-01,2.56,0.34
-4.88e-01,2.56,0.34
-4.87e-01,2.56,0.3
-4.86e-01,2.48,0.3
-4.85e-01,2.56,0.3
-4.84e-01,2.48,0.3
-4.83e-01,2.4,0.3
-4.82e-01,2.4,0.3
-4.81e-01,2.32,0.26
-4.80e-01,2.48,0.26
-4.79e-01,2.4,0.26
-4.78e-01,2.4,0.26
-4.77e-01,2.32,0.26
-4.76e-01,2.32,0.26
-4.75e-01,2.32,0.26
-4.74e-01,2.32,0.22
-4.73e-01,2.16,0.22
-4.72e-01,2.16,0.26
-4.71e-01,2.16,0.26
-4.70e-01,2.08,0.3
-4.69e-01,2,0.3
-4.68e-01,2.08,0.3
-4.67e-01,2.08,0.3
-4.66e-01,2.16,0.34
-4.65e-01,2.08,0.34
-4.64e-01,2,0.38
-4.63e-01,1.92,0.38
-4.62e-01,1.92,0.42
-4.61e-01,1.84,0.42
-4.60e-01,1.84,0.42
-4.59e-01,1.92,0.46
-4.58e-01,1.76,0.46
-4.57e-01,1.84,0.54
-4.56e-01,1.76,0.58
-4.55e-01,1.76,0.62
-4.54e-01,1.76,0.62
-4.53e-01,1.68,0.62
-4.52e-01,1.76,0.66
-4.51e-01,1.68,0.7
-4.50e-01,1.68,0.78
-4.49e-01,1.6,0.74
-4.48e-01,1.6,0.86
-4.47e-01,1.6,0.86
-4.46e-01,1.44,0.86
-4.45e-01,1.44,0.9
-4.44e-01,1.52,0.94
-4.43e-01,1.44,0.94
-4.42e-01,1.44,1.02
-4.41e-01,1.44,1.06
-4.40e-01,1.36,1.1
-4.39e-01,1.36,1.1
-4.38e-01,1.28,1.1
-4.37e-01,1.36,1.18
-4.36e-01,1.28,1.18
-4.35e-01,1.36,1.18
-4.34e-01,1.2,1.26
-4.33e-01,1.2,1.26
-4.32e-01,1.12,1.26
-4.31e-01,1.12,1.34
-4.30e-01,1.12,1.34
-4.29e-01,1.04,1.3
-4.28e-01,1.12,1.42
-4.27e-01,1.04,1.38
-4.26e-01,1.04,1.42
-4.25e-01,1.04,1.46
-4.24e-01,1.04,1.46
-4.23e-01,0.96,1.42
-4.22e-01,0.96,1.46
-4.21e-01,0.88,1.5
-4.20e-01,0.96,1.5
-4.19e-01,0.96,1.5
-4.18e-01,0.88,1.5
-4.17e-01,0.88,1.5
-4.16e-01,0.8,1.5
-4.15e-01,0.72,1.5
-4.14e-01,0.8,1.54
-4.13e-01,0.8,1.5
