Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0002,
Horizontal Delay,3.4e-05,
Sample Interval,2e-06,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,0.001
Vertical Position,1.38,0
,,
,,
,,
Label,,
TIME,CH1,CH2
-9.660e-04,1.9,0.00012
-9.640e-04,2.1,0.0002
-9.620e-04,2.3,0.00016
-9.600e-04,2.3,0
-9.580e-04,2.5,0.0002
-9.560e-04,2.5,0.00024
-9.540e-04,2.9,0.00032
-9.520e-04,2.9,-4e-05
-9.500e-04,3.1,-0.00012
-9.480e-04,3.1,0.00028
-9.460e-04,3.3,4e-05
-9.440e-04,3.3,8e-05
-9.420e-04,3.3,4e-05
-9.400e-04,3.5,-4e-05
-9.380e-04,3.9,0.0002
-9.360e-04,3.7,0
-9.340e-04,3.9,-0.0002
-9.320e-04,4.3,4e-05
-9.300e-04,4.3,-4e-05
-9.280e-04,4.3,-0.00024
-9.260e-04,4.5,0.0002
-9.240e-04,4.5,-0.00012
-9.220e-04,4.7,0.00016
-9.200e-04,4.7,0
-9.180e-04,5.1,0.00028
-9.160e-04,5.1,-0.00012
-9.140e-04,5.1,0
-9.120e-04,5.3,-4e-05
-9.100e-04,5.5,-0.00016
-9.080e-04,5.3,8e-05
-9.060e-04,5.5,-0.00016
-9.040e-04,5.7,0.00012
-9.020e-04,5.7,-4e-05
-9.000e-04,5.9,-0.00024
-8.980e-04,5.7,-0.00012
-8.960e-04,6.1,-0.0002
-8.940e-04,5.9,-8e-05
-8.920e-04,6.1,-0.0002
-8.900e-04,6.3,-0.00024
-8.880e-04,6.5,-0.00044
-8.860e-04,6.3,-0.00032
-8.840e-04,6.5,-0.00028
-8.820e-04,6.5,0
-8.800e-04,6.5,-0.00036
-8.780e-04,6.9,0
-8.760e-04,6.9,-0.00036
-8.740e-04,7.1,0
-8.720e-04,6.9,-0.0002
-8.700e-04,7.3,-8e-05
-8.680e-04,7.5,-0.00012
-8.660e-04,7.3,-4e-05
-8.640e-04,7.1,-0.00028
-8.620e-04,7.5,-0.00036
-8.600e-04,7.7,-0.00016
-8.580e-04,7.5,-0.00016
-8.560e-04,7.7,-0.00044
-8.540e-04,8.1,-4e-05
-8.520e-04,7.9,-8e-05
-8.500e-04,7.9,-0.00032
-8.480e-04,8.3,-0.00032
-8.460e-04,8.3,-0.00048
-8.440e-04,8.3,-0.00064
-8.420e-04,8.3,-0.0002
-8.400e-04,8.3,-0.00048
-8.380e-04,8.5,-0.00028
-8.360e-04,8.5,-0.00028
-8.340e-04,8.7,-0.00068
-8.320e-04,8.9,-0.00036
-8.300e-04,8.9,-0.00072
-8.280e-04,8.7,-0.00028
-8.260e-04,8.9,-0.0004
-8.240e-04,9.1,-0.00076
-8.220e-04,8.7,-0.0004
-8.200e-04,9.1,-0.00012
-8.180e-04,8.9,-0.00032
-8.160e-04,9.1,-0.00056
-8.140e-04,9.3,-0.00056
-8.120e-04,9.3,-0.00052
-8.100e-04,9.5,-0.0006
-8.080e-04,9.1,-0.00064
